tooth,sex,stage,stage_index,theta,se_theta,n,mode,median,mean,ln_sd,se_ln_sd
C,female,Ci,1,-0.1705,0.0511,10,0.8282,0.8432,0.8509,0.1342,0.004
C,female,Cco,2,0.2043,0.0309,31,1.2048,1.2267,1.2378,0.1342,0.004
C,female,Coc,3,0.5454,0.0302,29,1.6945,1.7253,1.7409,0.1342,0.004
C,female,Cr1_2,4,0.8218,0.0186,63,2.234,2.2746,2.2952,0.1342,0.004
C,female,Cr3_4,5,1.1223,0.016,83,3.0171,3.0719,3.0997,0.1342,0.004
C,female,Crc,6,1.4501,0.0159,86,4.1874,4.2635,4.3021,0.1342,0.004
C,female,Ri,7,1.7723,0.0168,73,5.7793,5.8844,5.9376,0.1342,0.004
C,female,R1_4,8,1.9981,0.0145,94,7.2434,7.375,7.4417,0.1342,0.004
C,female,R1_2,9,2.1808,0.0131,111,8.6954,8.8534,8.9335,0.1342,0.004
C,female,R3_4,10,2.2789,0.016,73,9.5916,9.7659,9.8543,0.1342,0.004
C,female,Rc,11,2.382,0.0216,40,10.6333,10.8265,10.9245,0.1342,0.004
C,female,A1_2,12,2.4404,0.0296,21,11.2728,11.4776,11.5815,0.1342,0.004
C,female,Ac,13,2.5597,0.0289,23,12.7011,12.9319,13.0489,0.1342,0.004
C,male,Ci,1,-0.1954,0.0441,14,0.8094,0.8225,0.8291,0.1268,0.0036
C,male,Cco,2,0.1439,0.0252,46,1.1364,1.1548,1.1641,0.1268,0.0036
C,male,Coc,3,0.554,0.0249,38,1.7124,1.7402,1.7542,0.1268,0.0036
C,male,Cr1_2,4,0.8455,0.0169,71,2.292,2.3291,2.3479,0.1268,0.0036
C,male,Cr3_4,5,1.2313,0.0132,110,3.371,3.4257,3.4533,0.1268,0.0036
C,male,Crc,6,1.6175,0.0132,115,4.9601,5.0405,5.0812,0.1268,0.0036
C,male,Ri,7,1.9353,0.0132,103,6.8157,6.9261,6.982,0.1268,0.0036
C,male,R1_4,8,2.0872,0.0133,99,7.9337,8.0623,8.1274,0.1268,0.0036
C,male,R1_2,9,2.2884,0.0143,83,9.7019,9.8592,9.9387,0.1268,0.0036
C,male,R3_4,10,2.3797,0.017,58,10.6294,10.8017,10.8888,0.1268,0.0036
C,male,Rc,11,2.482,0.019,46,11.7743,11.9652,12.0617,0.1268,0.0036
C,male,A1_2,12,2.547,0.0239,29,12.5651,12.7687,12.8718,0.1268,0.0036
C,male,Ac,13,2.6465,0.0208,39,13.8796,14.1046,14.2184,0.1268,0.0036
